Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Payments On The Web Release Checks,Chrome 63.0.3239.132,,2018-02-13 14:23:28,2018-02-13 14:24:13,44.553s,PASSED
,,,,,,
Test Cases/POTW - Landing Pages - Step 1 - No payment Subscription landing page,Chrome 63.0.3239.132,GIVEN my school does not have a payments subscription\nWHEN I log in to POTW\nTHEN I will be on the No payments subscription landing page\nAND I can click the hamburger icon in the corner to navigate to another area OTW,2018-02-13 14:23:29,2018-02-13 14:23:49,19.675s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-02-13 14:23:30,2018-02-13 14:23:33,3.366s,PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-02-13 14:23:33,2018-02-13 14:23:34,1.524s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-13 14:23:34,2018-02-13 14:23:35,0.357s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-13 14:23:35,2018-02-13 14:23:35,0.252s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-13 14:23:35,2018-02-13 14:23:35,0.259s,PASSED
click,Chrome 63.0.3239.132,,2018-02-13 14:23:35,2018-02-13 14:23:37,1.253s,PASSED
Statement - url = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getUrl(),Chrome 63.0.3239.132,,2018-02-13 14:23:37,2018-02-13 14:23:37,0.027s,PASSED
verifyEqual,Chrome 63.0.3239.132,,2018-02-13 14:23:37,2018-02-13 14:23:37,0.029s,PASSED
takeScreenshot,Chrome 63.0.3239.132,,2018-02-13 14:23:37,2018-02-13 14:23:37,0.420s,PASSED
click,Chrome 63.0.3239.132,,2018-02-13 14:23:37,2018-02-13 14:23:37,0.113s,PASSED
click,Chrome 63.0.3239.132,,2018-02-13 14:23:37,2018-02-13 14:23:48,11.008s,PASSED
takeScreenshot,Chrome 63.0.3239.132,,2018-02-13 14:23:48,2018-02-13 14:23:48,0.239s,PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-02-13 14:23:48,2018-02-13 14:23:49,0.128s,PASSED
,,,,,,
Test Cases/POTW - Landing Pages - Step 2- Create Bank Account Landing Page,Chrome 63.0.3239.132,WHEN I log in to POTW \nAND my school does not have a payment request\nAND my school does not have an active bank account\nAND I have permissions to create bank accounts\nTHEN I will see the create a bank account landing page,2018-02-13 14:23:49,2018-02-13 14:23:55,6.164s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-02-13 14:23:49,2018-02-13 14:23:50,1.292s,PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-02-13 14:23:50,2018-02-13 14:23:53,2.445s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-13 14:23:53,2018-02-13 14:23:53,0.226s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-13 14:23:53,2018-02-13 14:23:53,0.154s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-13 14:23:53,2018-02-13 14:23:53,0.153s,PASSED
click,Chrome 63.0.3239.132,,2018-02-13 14:23:53,2018-02-13 14:23:54,1.070s,PASSED
Statement - url = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getUrl(),Chrome 63.0.3239.132,,2018-02-13 14:23:54,2018-02-13 14:23:54,0.009s,PASSED
verifyEqual,Chrome 63.0.3239.132,,2018-02-13 14:23:54,2018-02-13 14:23:54,0.001s,PASSED
takeScreenshot,Chrome 63.0.3239.132,,2018-02-13 14:23:54,2018-02-13 14:23:55,0.382s,PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-02-13 14:23:55,2018-02-13 14:23:55,0.149s,PASSED
,,,,,,
Test Cases/POTW - Landing Pages - Step 3 - No Permission to create bank account landing page,Chrome 63.0.3239.132,,2018-02-13 14:23:55,2018-02-13 14:23:59,4.573s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-02-13 14:23:55,2018-02-13 14:23:56,1.207s,PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-02-13 14:23:56,2018-02-13 14:23:57,1.012s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-13 14:23:57,2018-02-13 14:23:57,0.258s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-13 14:23:57,2018-02-13 14:23:58,0.174s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-13 14:23:58,2018-02-13 14:23:58,0.210s,PASSED
click,Chrome 63.0.3239.132,,2018-02-13 14:23:58,2018-02-13 14:23:59,1.039s,PASSED
